id;verb;authority_id;resource_id
1;VIEW;1;1
2;CREATE;1;1
3;EDIT;1;1
4;DELETE;1;1
5;VIEW;2;1
6;CREATE;2;1
7;EDIT;2;1
8;DELETE;2;1
9;VIEW;1;2
10;CREATE;1;2
11;EDIT;1;2
12;DELETE;1;2
13;VIEW;2;2
14;CREATE;2;2
15;EDIT;2;2
16;DELETE;2;2
17;VIEW;1;3
18;CREATE;1;3
19;EDIT;1;3
20;DELETE;1;3
21;VIEW;2;3
22;CREATE;2;3
23;EDIT;2;3
24;DELETE;2;3
25;VIEW;1;4
26;CREATE;1;4
27;EDIT;1;4
28;DELETE;1;4
29;VIEW;2;4
30;CREATE;2;4
31;EDIT;2;4
32;DELETE;2;4
33;VIEW;1;5
34;CREATE;1;5
35;EDIT;1;5
36;DELETE;1;5
37;VIEW;2;5
38;CREATE;2;5
39;EDIT;2;5
40;DELETE;2;5
41;VIEW;1;6
42;CREATE;1;6
43;EDIT;1;6
44;DELETE;1;6
45;VIEW;2;6
46;CREATE;2;6
47;EDIT;2;6
48;DELETE;2;6
49;VIEW;1;7
50;CREATE;1;7
51;EDIT;1;7
52;DELETE;1;7
53;VIEW;2;7
54;CREATE;2;7
55;EDIT;2;7
56;DELETE;2;7
57;VIEW;1;8
58;CREATE;1;8
59;EDIT;1;8
60;DELETE;1;8
61;VIEW;2;8
62;CREATE;2;8
63;EDIT;2;8
64;DELETE;2;8
65;VIEW;1;9
66;CREATE;1;9
67;EDIT;1;9
68;DELETE;1;9
69;VIEW;2;9
70;CREATE;2;9
71;EDIT;2;9
72;DELETE;2;9
73;VIEW;1;10
74;CREATE;1;10
75;EDIT;1;10
76;DELETE;1;10
77;VIEW;2;10
78;CREATE;2;10
79;EDIT;2;10
80;DELETE;2;10
81;VIEW;1;11
82;CREATE;1;11
83;EDIT;1;11
84;DELETE;1;11
85;VIEW;2;11
86;CREATE;2;11
87;EDIT;2;11
88;DELETE;2;11
89;VIEW;1;12
90;CREATE;1;12
91;EDIT;1;12
92;DELETE;1;12
93;VIEW;2;12
94;CREATE;2;12
95;EDIT;2;12
96;DELETE;2;12
