id;module_name;port;module_status;last_update_date;thread_pool_queue_size;module_start_time;total_processed_work;total_processed_task;processed_statistics;host_name
1;Buckinghamshire Andorra Division;integrate ;Card Fresh Shoes;2023-04-14;28879;96070;77497;56140;Games transitional;Forward auxiliary
2;Plastic;e-tailers ;Fish markets Parkway;2023-04-14;46122;34556;55931;28996;matrix;Central
3;Creative withdrawal Account;compress p;users Customer-focused Research;2023-04-15;2749;51248;27562;9273;Beauty;Account
4;Avon Licensed;FTP;online;2023-04-15;3823;53661;6289;35747;port;seize
5;Generic TCP Pula;Specialist;SSL Islands;2023-04-15;28949;46542;56318;25217;SSL Shilling;policy
6;digital Unbranded Plastic;Beauty Cha;even-keeled Dakota;2023-04-14;6353;63404;99693;74362;Checking Hungary Buckinghamshire;attitude-oriented
7;Grocery;payment ma;Consultant bandwidth-monitored applications;2023-04-15;74863;64916;73162;85737;Account infomediaries;empowering
8;Awesome Avon;payment;Soft quantify;2023-04-15;71736;12600;28708;58871;Strategist Tugrik uniform;Agent Forward
9;Associate Self-enabling Iowa;Innovative;Guarani Orchestrator Unbranded;2023-04-14;62752;52811;67270;92078;Technician;eco-centric indexing Small
10;open bus Borders;UAE;models Caribbean Awesome;2023-04-15;81137;60569;89937;61123;SMTP Buckinghamshire transmit;Investment
