id;name;display_name;api_uri;resource_type
1;calculate hacking Toys;Intelligent Shoes Arizona;Fully-configurable;rich payment
2;calculating red Product;index Organized;Sweden withdrawal Ways;Connecticut
3;parsing;overriding functionalities;Fantastic;Division Berkshire
4;Mission;Sleek;Granite;Music Seychelles
5;model Borders Music;Bedfordshire optical Loan;back-end Customer approach;structure
6;Fresh;Cotton Steel Function-based;Small matrix;syndicate Russian
7;hack;niches deposit;Sleek;Montana communities
8;Park Ergonomic Assistant;Turkmenistan Handcrafted morph;Cambridgeshire Metal;Balboa panel
9;Human Fresh;bluetooth architecture Tuna;Lanka context-sensitive;Applications Division
10;lavender;Ohio maroon;hacking Bedfordshire;haptic
